id,genres,title,belongs_to_collection,budget,revenue,original_language,release_date,runtime,spoken_languages,vote_average,actors,director,return,combined_features
3512,"Action, Thriller",under siege 2: dark territory,Under Siege Collection,60000000,104324083.0,en,1995-07-13,100.0,English,5.6,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl, Моррис Честнат, Peter Greene, Patrick Kilpatrick, Scott Sowers, Afifi Alaouie, Andy Romano, Brenda Bakke, Sandra Taylor",Geoff Murphy,1.738734716666667,"Under Siege Collection Action, Thriller 1995-07-13 en"
50797,Drama,burnt by the sun,Burnt by the Sun Trilogy,2800000,2616503.0,ru,1994-01-05,135.0,Pусский,6.7,"Nikita Mikhalkov, Oleg Menshikov, Ingeborga Dapkunaite, Vyacheslav Tikhonov, Nadezhda Mikhalkova, André Oumansky",Nikita Mikhalkov,0.9344653571428572,Burnt by the Sun Trilogy Drama 1994-01-05 ru
76,"Drama, Romance",before sunrise,Before... Collection,2500000,5535405.0,en,1995-01-27,105.0,"English, Deutsch, Français",7.7,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger, Tex Rubinowitz, Erni Mangold, Dominik Castell, Haymon Maria Buttinger, Harold Waiglein, Bilge Jeschim, Kurti, Hans Weingartner, Liese Lyon, Peter Ily Huemer, Otto Reiter, Hubert Fabian Kulterer, Branko Andric, Constanze Schweiger, John Sloss, Alexandra Seibel, Georg Schöllhammer, Christian Ankowitsch, Wilbirg Reiter, Barbara Klebel, Wolfgang Staribacher, Wolfgang Glüxam",Richard Linklater,2.214162,"Before... Collection Drama, Romance 1995-01-27 en"
11,"Adventure, Action, Science Fiction",star wars,Star Wars Collection,11000000,775398007.0,en,1977-05-25,121.0,English,8.1,"Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, James Earl Jones, Phil Brown, Shelagh Fraser, Jack Purvis, Eddie Byrne, Denis Lawson, Garrick Hagon, Don Henderson, Leslie Schofield, Richard LeParmentier, Michael Leader, Alex McCrindle, Drewe Henley, Jack Klaff, William Hootkins, Angus MacInnes, Jeremy Sinden, Graham Ashley, David Ankrum, Mark Austin, Scott Beach, Lightning Bear, Jon Berg, Doug Beswick, Paul Blake, Janice Burchette, Ted Burnett, John Chapman, Gilda Cohen, Tim Condren, Barry Copping, Alfie Curtis, Robert Davies, Maria De Aragon, Robert A. Denham, Frazer Diamond, Peter Diamond, Warwick Diamond, Sadie Eden, Kim Falkinburg, Harry Fielder, Ted Gagliano, Salo Gardner, Steve Gawley, Barry Gnome, Rusty Goffe, Isaac Grand, Nelson Hall, Reg Harding, Alan Harris, Frank Henson, Christine Hewett, Arthur Howell, Tommy Ilsley, Joe Johnston, Annette Jones, Linda Jones, Joe Kaye, Colin Michael Kitchens, Melissa Kurtz, Tiffany L. Kurtz, Al Lampert, Anthony Lang, Laine Liska, Derek Lyons, Mahjoub, Alf Mangan, Rick McCallum, Grant McCune, Geoffrey Moon, Mandy Morton, Lorne Peterson, Marcus Powell, Shane Rimmer, Pam Rose, George Roubicek, Erica Simmons, Angela Staines, George Stock, Roy Straite, Peter Sturgeon, Peter Sumner, John Sylla, Tom Sylla, Malcolm Tierney, Phil Tippett, Burnell Tucker, Morgan Upton, Jerry Walter, Hal Wamsley, Larry Ward, Diana Sadley Way, Harold Weed, Bill Weston, Steve 'Spaz' Williams, Fred Wood, Colin Higgins",George Lucas,70.49072790909091,"Star Wars Collection Adventure, Action, Science Fiction 1977-05-25 en"
63105,"Science Fiction, Action, Thriller",nemesis 2 - nebula,Nemesis Collection,0,0.0,en,1995-09-26,83.0,English,4.6,"Sue Price, Chad Stahelski, Tina Cote, Earl White, Jahi J.J. Zuri, Karen Studer, Shelton Baily, Jon H. Epstein, Sharon Bruneau, Debbie Muggli",Albert Pyun,0.0,"Nemesis Collection Science Fiction, Action, Thriller 1995-09-26 en"
18220,"Drama, Romance, Thriller",poison ivy ii: lily,Poison Ivy Collection,0,0.0,en,1996-01-16,106.0,English,4.6,"Alyssa Milano, Johnathon Schaech, Xander Berkeley, Belinda Bauer, Camilla Belle, Kathryne Dora Brown, Walter Kim, Kate Rodger",Anne Goursaud,0.0,"Poison Ivy Collection Drama, Romance, Thriller 1996-01-16 en"
9059,"Horror, Comedy, Thriller",tales from the crypt: demon knight,Tales from the Crypt Collection,0,0.0,en,1995-01-13,92.0,English,6.7,"Billy Zane, William Sadler, Jada Pinkett Smith, Brenda Bakke, CCH Pounder, John Kassir, Dick Miller, Thomas Haden Church, John Schuck, Gary Farmer, Charles Fleischer, Tim DeZarn, Sherrie Rose, Ryan O'Donohue, Tony Salome, Chasey Lain, Traci Bingham, Peggy Trentini",Ernest R. Dickerson,0.0,"Tales from the Crypt Collection Horror, Comedy, Thriller 1995-01-13 en"
193,"Science Fiction, Action, Adventure, Thriller",star trek: generations,Star Trek: The Next Generation Collection,38000000,120000000.0,en,1994-11-17,118.0,English,6.4,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton, Michael Dorn, Gates McFadden, Marina Sirtis, William Shatner, James Doohan, Walter Koenig, Malcolm McDowell, Alan Ruck, Whoopi Goldberg, Thomas Dekker, Cameron Oppenheimer, Jenette Goldstein, Tim Russ",David Carson,3.1578947368421053,"Star Trek: The Next Generation Collection Science Fiction, Action, Adventure, Thriller 1994-11-17 en"
3049,"Comedy, Mystery",ace ventura: pet detective,Ace Ventura Collection,15000000,107217396.0,en,1994-04-02,86.0,English,6.4,"Jim Carrey, Sean Young, Courteney Cox, Tone Loc, Dan Marino, Noble Willingham, Troy Evans, Raynor Scheine, Udo Kier, Frank Adonis, Tiny Ron Taylor, John Capodice, Alice Drummond, Rebecca Ferratti, Mark Margolis, Randall 'Tex' Cobb, Bubba Baker, Robert Deacon, Greg Finley",Tom Shadyac,7.1478264,"Ace Ventura Collection Comedy, Mystery 1994-04-02 en"
36593,"Comedy, Crime",the naked gun 33⅓: the final insult,Naked Gun Collection,30000000,51132598.0,en,1994-03-18,83.0,English,6.4,"Leslie Nielsen, Priscilla Presley, George Kennedy, O.J. Simpson, Fred Ward, Kathleen Freeman, Anna Nicole Smith, Doris Belack, Nigel Gibbs, Andre Rosey Brown, James Earl Jones, Pia Zadora, Ellen Greene, Raye Birk, Wylie Small, Randall 'Tex' Cobb, Ann B. Davis, Vanna White, ""Weird Al"" Yankovic, Mary Lou Retton, David Zucker, Julie Strain, Florence Henderson, Elisa Gabrielli, Shannen Doherty, Morgan Fairchild, Elliott Gould, Mariel Hemingway, James Earl Jones, Raquel Welch, Symba",Peter Segal,1.7044199333333334,"Naked Gun Collection Comedy, Crime 1994-03-18 en"
11011,"Comedy, Family",ri¢hie ri¢h,Richie Rich Collection,40000000,0.0,en,1994-12-19,95.0,"English, Latin",5.4,"Macaulay Culkin, John Larroquette, Edward Herrmann, Christine Ebersole, Michael Maccarone, Joel Robinson, Jonathan Hilario, Rory Culkin, Jonathan Hyde, Stephi Lineburg",Donald Petrie,0.0,"Richie Rich Collection Comedy, Family 1994-12-19 en"
1637,"Action, Adventure, Crime",speed,Speed Collection,30000000,350448145.0,en,1994-09-06,116.0,English,6.8,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton, Jeff Daniels, Alan Ruck, Glenn Plummer, Richard Lineback, Beth Grant, Hawthorne James, Carlos Carrasco, David Kriegel, Natsuko Ohama, Daniel Villarreal, Simone Gad, Loretta Jean, Sherri Villanueva, Margaret Medina, Jordan Lund, Robert Mailhouse, Patrick Fischler, Patrick John Hurley, Susan Barnes, Rick Dano, Michael Sottile, Jane Crawley, Anne O'Sullivan, Beau Starr, John Capodice, Thomas Rosales, Jr., James DuMont, Antonio Mora, Patty Toy, Todd Gordon, Bruce Wright, Mark Kriski, Dagny Hultgreen, Richard Schiff, Joseph Carberry, Sandy Martin, Neisha Folkes-LeMelle, Jim Mapp, Milton Quon, Sonia Jackson, Carmen Williams, Paula Montes, Loyda Ramos, Julia Vera, Marylou Lim, Brian K. Grant, Barry Kramer, Robin McKee, Paige Goodman, Christina Fitzgerald, Tara Thomas, Cece Tsou, Michael N. Fujimoto, Richard Gelb",Jan de Bont,11.681604833333331,"Speed Collection Action, Adventure, Crime 1994-09-06 en"
8831,"Thriller, Science Fiction, Action, Crime",timecop,Timecop Collection,27000000,101646581.0,en,1994-09-15,99.0,English,5.5,"Jean-Claude Van Damme, Mia Sara, Ron Silver, Bruce McGill, Gloria Reuben, Scott Bellis, Jason Schombing, Scott Lawrence, Kenneth Welsh, Brent Woolsey, Brad Loree, Shane Kelly, Richard Faraci, Steven Lambert, Kevin McNulty",Peter Hyams,3.764688185185185,"Timecop Collection Thriller, Science Fiction, Action, Crime 1994-09-15 en"
11667,"Action, Adventure, Thriller",street fighter,Street Fighter,35000000,99423521.0,en,1994-12-22,102.0,"English, 日本語",4.1,"Jean-Claude Van Damme, Raúl Juliá, Ming-Na Wen, Дэмиан Чапа, Kylie Minogue, Wes Studi, Byron Mann, Roshan Seth, Grand L. Bush, Jay Tavare, Simon Callow, Andrew Bryniarski, Miguel A. Núñez, Jr., Robert Mammone",Steven E. de Souza,2.8406720285714284,"Street Fighter Action, Adventure, Thriller 1994-12-22 en"
75555,"Horror, Thriller",the fear,Fear Collection,0,0.0,en,1995-01-20,98.0,English,3.4,"Eddie Bowz, Heather Medway, Ann Turkel, Vince Edwards, Darin Heames, Anna Karin, Antonio Todd, Leland Hayward III, Monique Mannen, Erick Weiss, Wes Craven",Vincent Robert,0.0,"Fear Collection Horror, Thriller 1995-01-20 en"
8011,"Action, Fantasy, Science Fiction",highlander: the final dimension,Highlander Collection,26000000,36800000.0,en,1994-11-29,99.0,English,4.5,"Christopher Lambert, Mario Van Peebles, Deborah Kara Unger, Mako, Martin Neufeld, Daniel Do, Michael Jayston, Louis Bertignac",Andrew Morahan,1.4153846153846157,"Highlander Collection Action, Fantasy, Science Fiction 1994-11-29 en"
2758,"Comedy, Family, Fantasy",addams family values,Addams Family Collection,0,48919043.0,en,1993-11-19,94.0,English,6.5,"Raúl Juliá, Anjelica Huston, Christopher Lloyd, Christina Ricci, Joan Cusack, Carel Struycken, Harriet Sansom Harris, Julie Halston, Carol Kane, Barry Sonnenfeld, Jimmy Workman, Peter MacNicol, Christine Baranski, Mercedes McNab, Sam McMurray, Nathan Lane, David Hyde Pierce, Tony Shalhoub, Peter Graves, Cynthia Nixon, John Franklin, David Krumholtz, Ian Abercrombie",Barry Sonnenfeld,0.0,"Addams Family Collection Comedy, Family, Fantasy 1993-11-19 en"
5503,"Adventure, Action, Thriller, Crime, Mystery",the fugitive,The Fugitive / U.S. Marshals Collection,44000000,368875760.0,en,1993-06-08,130.0,English,7.2,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, Joe Pantoliano, Andreas Katsulas, Jeroen Krabbé, Daniel Roebuck, L. Scott Caldwell, Ron Dean, Joseph F. Kosala, Tom Wood, Dick Cusack, Richard Riehle, Andy Romano, Nick Searcy, Miguel Nino, John Drummond, David Darlow, Jane Lynch, Neil Flynn, Kevin Crowley, Mark D. Espinoza, Gene Barge, Joe Guzaldo, Nicholas Kusenko, Joan Kohn, Joe Guastaferro, Thom Vernon, Ken Moreno, Eddie Bo Smith Jr., Frank Ray Perilli, Pancho Demmings, Jim Wilkey, Danny Goldring, Michael James, Michael Skewes, Cody Glenn, Cynthia Baker, Johnny Lee Davenport, Mike Bacarella, Bill Cusack, Tighe Barry, Afram Bill Williams, Noelle Bou-Sliman, Greg Hollimon, Cheryl Lynn Bruce, Ann Whitney, Turk Muller, Eugene F. Crededio, Pam Zekman, David Pasquesi, Dru Anne Carlson, Kirsten Nelson, Juan Ramírez, Allen Hamilton, Lester Holt, Suzy Brack, Darren W. Conrad, Kevin Mukherji, Sal Richards, John-Clay Scott",Andrew Davis,8.38354,"The Fugitive / U.S. Marshals Collection Adventure, Action, Thriller, Crime, Mystery 1993-06-08 en"
2019,"Action, Adventure, Crime, Thriller",hard target,Hard Target Collection,18000000,74189677.0,en,1993-08-20,97.0,English,6.1,"Jean-Claude Van Damme, Arnold Vosloo, Lance Henriksen, Yancy Butler, Sven-Ole Thorsen, Wilford Brimley, Ted Raimi, Kasi Lemmons, Willie C. Carpenter, Eliott Keener, Chuck Pfarrer, Robert Apisa, Douglas Forsythe Rye, Mike Leinert, Lenore Banks, Barbara Tasker",John Woo,4.121648722222222,"Hard Target Collection Action, Adventure, Crime, Thriller 1993-08-20 en"
329,"Adventure, Science Fiction",jurassic park,Jurassic Park Collection,63000000,920100000.0,en,1993-11-06,127.0,"English, Español",7.6,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, BD Wong, Joseph Mazzello, Ariana Richards, Samuel L. Jackson, Wayne Knight, Gerald R. Molen, Miguel Sandoval, Cameron Thor, Christopher John Fields, Whit Hertford, Dean Cundey, Jophery C. Brown, Tom Mishler, Greg Burson, Adrian Escober, Richard Kiley, Brad M. Bucklin, Laura Burnett, Gary Rodriguez, Brian Smrz, Robert 'Bobby Z' Zajonc",Steven Spielberg,14.604761904761904,"Jurassic Park Collection Adventure, Science Fiction 1993-11-06 en"
11231,Adventure,the next karate kid,The Karate Kid Collection,12000000,15826984.0,en,1994-07-18,107.0,English,4.8,"Pat Morita, Hilary Swank, Michael Ironside, Constance Towers, Chris Conrad, Arsenio 'Sonny' Trinidad, Michael Cavalieri, Walton Goggins, Jim Ishida, Rodney Kageyama, Seth Sakai, Eugene Boles, Keena Keel, Tom O'Brien, Thomas Downey",Christopher Cain,1.3189153333333334,The Karate Kid Collection Adventure 1994-07-18 en
5550,"Action, Adventure, Crime, Science Fiction, Thriller",robocop 3,RoboCop Collection,22000000,10696210.0,en,1993-04-17,104.0,"English, 日本語",4.2,"Robert John Burke, Nancy Allen, Mario Machado, Jodi Long, John Posey, Mako, Rip Torn, Bruce Locke, John Castle, Edith Ivey, Remy Ryan, Bradley Whitford, S.D. Nemeth, Stephen Root, CCH Pounder, Robert DoQui, Jeff Garlin, James Lorinz, Jill Hennessy, Curtis Taylor, Felton Perry, Shane Black",Fred Dekker,0.4861913636363636,"RoboCop Collection Action, Adventure, Crime, Science Fiction, Thriller 1993-04-17 en"
11236,"Drama, Family, Fantasy",the secret garden,The Secret Garden Collection,0,0.0,en,1993-08-13,102.0,English,7.1,"Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith, Irène Jacob, Laura Crossley, John Lynch, Walter Sparrow, Frank Baker, Valerie Hill, Andrea Pickering, Peter Moreton, Arthur Spreckley, Colin Bruce, Parsan Singh, Eileen Page, David Stoll, Tabatha Allen",Agnieszka Holland,0.0,"The Secret Garden Collection Drama, Family, Fantasy 1993-08-13 en"
10020,"Romance, Family, Animation, Fantasy, Music",beauty and the beast,Beauty and the Beast Collection,25000000,377350553.0,en,1991-11-13,84.0,"Français, English",7.5,"Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers, Angela Lansbury, Rex Everhart, Jesse Corti, Bradley Pierce, Hal Smith, Jo Anne Worley, Mary Kay Bergman, Kath Soucie, Alvin Epstein, Tony Jay, Brian Cummings, Alec Murphy, Kimmy Robertson, Frank Welker, Alex Murphy, David Ogden Stiers",Gary Trousdale,15.09402212,"Beauty and the Beast Collection Romance, Family, Animation, Fantasy, Music 1991-11-13 en"
25059,"Adventure, Comedy, Drama, Family",homeward bound ii: lost in san francisco,Homeward Bound Collection,0,32709423.0,en,1996-08-03,89.0,,6.0,"Michael J. Fox, Sally Field, Ralph Waite, Robert Hays, Kim Greist, Michael Bell, Tisha Campbell-Martin, Al Michaels, Tommy Lasorda, Bob Uecker, Tress MacNeille, Jon Polito, Adam Goldberg, Sinbad, Carla Gugino, Stephen Tobolowsky, Michael Rispoli, Will Sasso, Tom Wagner",David R. Ellis,0.0,"Homeward Bound Collection Adventure, Comedy, Drama, Family 1996-08-03 en"
954,"Adventure, Action, Thriller",mission: impossible,Mission: Impossible Collection,80000000,457696359.0,en,1996-05-22,110.0,"English, Français, Český",6.7,"Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny, Jean Reno, Ving Rhames, Kristin Scott Thomas, Vanessa Redgrave, Dale Dye, Marcel Iureș, Ion Caramitru, Ingeborga Dapkunaite, Valentina Yakunina, Marek Vašut, Nathan Osgood, Emilio Estevez, Michael Rogers, Keith Campbell, John McLaughlin, Karel Dobrý, Andreas Wisniewski, Ricco Ross, Mark Houghton, Annabel Mullion, Garrick Hagon, Olegar Fedoro, David Schneider, Helen Lindsay, John Knoll, Rolf Saxon",Brian De Palma,5.7212044875,"Mission: Impossible Collection Adventure, Action, Thriller 1996-05-22 en"
25087,"Action, Thriller",bloodsport ii,Bloodsport Collection,0,684351.0,en,1996-01-03,90.0,English,5.2,"Daniel Bernhardt, Pat Morita, Donald Gibb, James Hong, Lori Lynn Dickerson, Philip Tan, Ong Soo Han",Alan Mehrez,0.0,"Bloodsport Collection Action, Thriller 1996-01-03 en"
20762,"Action, Thriller",the substitute,The Substitute Collection,0,0.0,en,1996-04-19,114.0,"Italiano, English",5.8,"Tom Berenger, Raymond Cruz, Marc Anthony, William Forsythe, Luis Guzmán, Diane Venora, Ernie Hudson, Richard Brooks, Glenn Plummer, Cliff De Young, Peggy Pope, Willis Sparks",Robert Mandel,0.0,"The Substitute Collection Action, Thriller 1996-04-19 en"
9323,"Action, Animation, Science Fiction",ghost in the shell,Ghost in the Shell Collection,0,2287714.0,ja,1995-11-18,83.0,日本語,7.8,"Atsuko Tanaka, Akio Ohtsuka, Iemasa Kayumi, Kouichi Yamadera, Yutaka Nakano, Tesshou Genda, Naruki Masahisa, Masato Yamanouchi, Shinji Ogawa, Mitsuru Miyamoto, Kazuhiro Yamaji, Shigeru Chiba, Hiroshi Yanaka, Ginzô Matsuo, Takashi Matsuyama, Sanryô Odaka, Masamichi Satô, Atsuko Hayashida, Yûji Ueda, Toshiki Kameyama, Atsushi Goto, Maaya Sakamoto",Mamoru Oshii,0.0,"Ghost in the Shell Collection Action, Animation, Science Fiction 1995-11-18 ja"
532,"Family, Animation, Comedy",a close shave,Wallace & Gromit Collection,0,0.0,en,1995-12-24,30.0,English,7.5,"Peter Sallis, Anne Reid",Nick Park,0.0,"Wallace & Gromit Collection Family, Animation, Comedy 1995-12-24 en"
10547,"Action, Mystery, Science Fiction, Thriller",the arrival,The Arrival Collection,25000000,14048372.0,en,1996-05-31,115.0,English,6.1,"Charlie Sheen, Lindsay Crouse, Richard Schiff, Ron Silver, Teri Polo, Phyllis Applegate, Tony T. Johnson, Alan Coates, Leon Rippy, Buddy Joe Hooker, Javier Morga, David Villalpando, María Luisa Coronel, Mónica Dionne, Alejandro Usigli, Jacqueline Voltaire, Luisa Huertas, Roger Cudney, Shane, Dave Galasso, Georg Lillitsch, Catalina Botello, David Sherrill",David Twohy,0.56193488,"The Arrival Collection Action, Mystery, Science Fiction, Thriller 1996-05-31 en"
77771,"Drama, Romance",touki bouki,"Martin Scorsese’s World Cinema Project, Vol. 1",0,0.0,wo,2073-01-07,85.0,"العربية, Français, Wolof",7.3,"Magaye Niang, Aminata Fall, Ousseynou Diop, Josephine Baker, Christoph Colomb, Mustapha Ture, Ndou Labia",Djibril Diop Mambéty,0.0,"Martin Scorsese’s World Cinema Project, Vol. 1 Drama, Romance 2073-01-07 wo"
